"id","cook_id","value","sort","title_sort"
"1","1","A cup of uncooked white rice.","0",
"2","1","Two cups of water.","0",
"3","1","Two teaspoons of salt.","0",
"4","2","Five cups of Egyptian rice.","0",
"5","2","Four cups of hot broth.","0",
"6","2","A tablespoon of ghee.","0",
"7","2","A bay leaf.","0",
"8","2","Four tablespoons of corn oil.","0",
"9","3","Three hundred grams of rice.","0",
"10","3","Two grains of onions cut into slices.","0",
"11","3","Eighty grams of vermicelli.","0",
"12","3","Twenty grams of clarified butter or margarine.","0",
"13","3","Four hundred milliliters of vegetable broth.","0",
"14","3","Forty grams of each of:
Toasted pine nuts.
Pistachios cut into large pieces.","0",
"15","3","Toasted pine nuts.","0",
"16","3","Pistachios cut into large pieces.","0",
"17","4","Four cups of cooked rice.","0",
"18","4","A quarter cup of cooked, chopped beef.","0",
"19","4","One onion, diced.","0",
"20","4","2 cloves of crushed garlic.","0",
"21","4","1 tablespoon each of:
tomato sauce.
Light soy sauce.
Paprika.","0",
"22","4","tomato sauce.","0",
"23","4","Light soy sauce.","0",
"24","4","Paprika.","0",
"25","5","Two cups of low-fat milk.","0",
"26","5","A cup and a half of short-grain rice.","0",
"27","5","A cup of chicken broth.","0",
"28","5","Two tablespoons of cream, and butter.","0",
"29","5","Small spoon of salt.","0",
"30","5","¼ teaspoon cinnamon.","0",
"31","5","A small onion, finely chopped.","0",
"32","5","Pinch of black pepper.","0",
"33","5","Cinnamon.","0",
"34","6","Five hundred grams of meat kofta.","0",
"35","6","Two tablespoons of tomato paste and corn oil.","0",
"36","6","Small spoon of salt.","0",
"37","6","Half a teaspoon of fine cardamom.","0",
"38","6","¼ teaspoon of black pepper.","0",
"39","6","Three cups of short-grain rice.","0",
"40","6","Two cups of broth, and milk.","0",
"41","6","A cup of cream.","0",
"42","6","Half a cup of water.","0",
"43","6","A quarter cup of vinegar.","0",
"44","7","Half a boiled and chopped chicken.","0",
"45","7","Two cups of Egyptian rice.","0",
"46","7","A small amount of ghee for spreading.","0",
"47","7","A cup of chicken broth.","0",
"48","7","Half a cup of milk.","0",
"49","7","Cream, or fresh cream, to taste.","0",
"50","8","Two cups of Egyptian rice.","0",
"51","8","Half a teaspoon of black pepper.","0",
"52","8","Four cups of milk.","0",
"53","8","A small spoon of vanilla.","0",
"54","8","A cup of broth.","0",
"55","8","A whole chopped chicken.","0",
"56","8","A tablespoon of butter.","0",
"57","8","A cup of cream.","0",
"58","8","Small spoon of salt.","0",
"59","9","Long-grain rice: Its seed may be long and slender, and it is four to five times longer than its width, and when cooked, the grains are separate, light and thin.","0",
"60","9","Medium-grain rice: Its grains are shorter than long-grain rice, which is two to three times longer than its width, and is wider than long-grain rice, and cooked grains are moist and softer, and have a greater tendency to cling together than long grains.","0",
"61","9","Short Grain Rice: Its grains are short, plump, and nearly round, with the cooked grains soft and clinging together.","0",
"62","9","Sweet or waxy rice: Its grains may be short and full, white as chalk, and opaque, and when cooked it loses its shape, and it is very sticky, and it is considered the most used in commercial product formulations, in addition to that the starch and flour from sweet rice are used in frozen products as a material. Contributes to the consistency of sauces and soups, as they are resistant to collapse during freezing and thawing, unlike corn or wheat starch.","0",
"63","10","Half a teaspoon each of: coriander, cumin, and black pepper.","3",
"64","10","Two cups of long-grain rice (basmati).","3",
"65","10","Two large onions, sliced.","3",
"66","10","Four pieces of fillet fish.","3",
"67","10","A tablespoon of lemon juice.","3",
"68","10","Four cups of water.","3",
"69","10","A teaspoon each of: fish seasoning and salt.","3",
"70","10","A little corn oil.","1","للقلي:
"
"71","10","A little of each:
Chopped parsley.
Fried nuts.","-1","للتزين:
"
"72","10","Chopped parsley.","-1","للتزين:
"
"73","10","Fried nuts.","-1","للتزين:
"
"74","11","Four and a half cups of water or fish broth.","1",
"75","11","A cup of corn oil.","1",
"76","11","Half a cup of each: chopped parsley, chopped dill, and chopped cilantro.","1",
"77","11","A quarter cup of flour.","1",
"78","11","Three cups of long-grain rice (basmati).","1",
"79","11","Two large grains of chopped tomatoes.","1",
"80","11","Onion cut into round slices.","1",
"81","11","Two pods of chopped hot green peppers.","1",
"82","11","Two teaspoons of chopped ginger.","1",
"83","11","Half a teaspoon each of: salt and cumin.","1",
"84","11","¼ teaspoon of black pepper.","1",
"85","11","Two tablespoons of fish spices.","1",
"86","11","A kilogram of fillet fish.","1",
"87","11","Three to four cloves of crushed garlic.","1",
"88","12","A kilogram of squid.","1",
"89","12","Two onions cut into circular slices.","1",
"90","12","Two large tomatoes, cut into circular slices.","1",
"91","12","Half a cup of green sweet pepper, cut into circular slices.","1",
"92","12","2 cloves of minced garlic.","1",
"93","12","Salt and ground black pepper, to taste.","1",
"94","12","A quarter cup of green coriander and celery.","1",
"95","12","A cup of fish broth.","1",
"96","12","A piece of fresh lemon.","1",
"97","12","Two tablespoons of olive or vegetable oil.","1",
"98","13","Three cups of long-grain rice.","1",
"99","13","Three tablespoons of sugar.","1",
"100","13","Four to six tablespoons of ghee.","1",
"101","13","Two large onions, cut into longitudinal slices.","1",
"102","13","Six cloves of garlic, sliced.","1",
"103","13","Two teaspoons of chopped ginger.","1",
"104","13","Two pods of chopped hot pepper.","1",
"105","13","2 tablets of each:
Sweet green pepper, cut into longitudinal slices.
Carrots cut into thin fingers.
Dried lime.","1",
"106","13","Sweet green pepper, cut into longitudinal slices.","1",
"107","13","Carrots cut into thin fingers.","1",
"108","13","Dried lime.","1",
"109","13","1 kilogram of large, peeled shrimp.","1",
"110","13","Two to three large grains of chopped tomatoes.","1",
"111","13","Two tablespoons of each of:
Tomato paste.
Mixed condiment.
the salt.","1",
"112","13","Tomato paste.","1",
"113","13","Mixed condiment.","1",
"114","13","the salt.","1",
"115","13","Two cinnamon sticks.","1",
"116","13","Ten grains of cardamom right.","1",
"117","13","Two to three bay leaves.","1",
"118","13","A quarter cup of each of:
Fried cashews.
Fried raisins.","1",
"119","13","Fried cashews.","1",
"120","13","Fried raisins.","1",
"121","13","Half a cup of chopped coriander.","1",
"122","14","Two cups of long-grain rice.","0",
"123","14","Half a cup of each: shredded mushrooms and peas.","0",
"124","14","A quarter cup of corn oil.","0",
"125","14","Two to three tablespoons of soy sauce.","0",
"126","14","Twenty medium grain of shrimp.","0",
"127","14","Two large grains of pineapple.","0",
"128","14","Two large eggs scrambled.","0",
"129","14","1 medium onion, finely chopped.","0",
"130","14","A stick of chopped green onions with leaves.","0",
"131","14","Pinch of salt and white pepper.","0",
"132","15","Half a cup of vermicelli.","0",
"133","15","Two cups of long-grain rice.","0",
"134","15","A quarter of a teaspoon of salt.","0",
"135","15","Four tablespoons of corn oil.","0",
"136","15","Three and a half cups of chicken broth or water.","0",
"137","16","One green pepper.","0",
"138","16","Half a bundle of mint.","0",
"139","16","A quarter cup of raisins.","0",
"140","16","2 cloves of garlic.","0",
"141","16","Two cups of basmati rice.","0",
"142","16","Half a bundle of coriander.","0",
"143","16","Two tablespoons of obesity.","0",
"144","16","A quarter cup of cashews.","0",
"145","16","Half a bundle of parsley.","0",
"146","16","Two tablespoons of oil.","0",
"147","16","A quarter of a teaspoon of turmeric.","0",
"148","16","Six to eight cups of water.","0",
"149","16","A tablespoon of salt.","0",
"150","17","Half a cup of green pepper, cut into small cubes.","0",
"151","17","A cup and a half of basmati rice washed and soaked for half an hour.","0",
"152","17","Small onion, cut into cubes.","0",
"153","17","Four tablespoons of butter.","0",
"154","17","Two hundred forty grams of mushrooms, cut into thick slices.","0",
"155","17","Two cubes of chicken broth.","0",
"156","17","Two teaspoons of dried parsley.","0",
"157","17","Salt and ground black pepper, to taste.","0",
"158","17","Chili-as desired.","0",
"159","17","Boiling water.","0",
"160","18","Four and a half cups of water.","2",
"161","18","Three cups of short-grain rice.","2",
"162","18","Half a cup of butter.","2",
"163","18","A quarter cup each of: raisins, almonds, cashews and sugar.","2",
"164","18","corn oil.","0","للقلي:
"
"165","19","Three cups each: sour cream and long-grain rice.","1",
"166","19","Two cups of sliced ​​mushrooms.","1",
"167","19","A cup and a half of chopped dill and chopped parsley.","1",
"168","19","A cup of cottage cheese.","1",
"169","19","¼ teaspoon of black pepper.","1",
"170","19","A kilogram of chicken.","1",
"171","19","Two tablespoons of oil.","1",
"172","19","Six tablespoons of sumac.","1",
"173","19","A tablespoon of: fine coriander and cumin.","1",
"174","19","Two teaspoons of salt.","1",
"175","19","Two large onions, cut into wings.","1",
"176","19","Large onion.","1",
"177","19","Ten cloves of cardamom.","1",
"178","19","2 cloves of crushed garlic.","1",
"179","19","Two cinnamon sticks.","1",
"180","20","A tablespoon of vegetable oil.","0",
"181","20","Two cups of water.","0",
"182","20","Small spoon of salt.","0",
"183","20","A cup of basmati rice.","0",
"184","21","Two cinnamon sticks.","2","مكونات الأرز:
"
"185","21","Four tablespoons of ghee.","2","مكونات الأرز:
"
